year,transistor count,size(nm)
1970,74442,
1971,2250,10000.0
1971,3078,
1972,3500,10000.0
1973,2500,7500.0
1973,11000,6000.0
1974,3000,10000.0
1974,4100,6000.0
1974,6000,6000.0
1974,8000,8000.0
1975,4528,8000.0
1975,4000,
1975,5000,
1976,5000,5000.0
1976,8500,4000.0
1976,6500,3000.0
1976,8000,
1977,7000,5000.0
1978,9000,5000.0
1978,29000,3000.0
1979,17500,
1979,29000,3000.0
1979,68000,3500.0
1980,50000,
1981,11500,3000.0
1981,45000,2000.0
1982,55000,3000.0
1982,134000,1500.0
1983,22000,3000.0
1984,63000,
1984,190000,2000.0
1985,275000,1500.0
1985,25000,3000.0
1985,16000,3000.0
1986,110000,1200.0
1986,375000,1500.0
1986,27000,2000.0
1986,91000,
1987,385000,1500.0
1987,730000,1000.0
1987,273000,800.0
1987,553000,2000.0
1988,180000,1500.0
1988,250000,1500.0
1989,600000,800.0
1989,1000000,
1989,1180235,1000.0
1989,310000,1500.0
1990,1200000,650.0
1991,1350000,1000.0
1991,35000,800.0
1992,600000,800.0
1992,900000,
1992,1680000,750.0
1993,2800000,500.0
1993,3100000,800.0
1994,578977,700.0
1994,7000,1200.0
1994,2500000,600.0
1994,2800000,600.0
1995,2500000,350.0
1995,5500000,500.0
1996,4300000,500.0
1997,10000000,200.0
1997,7500000,350.0
1997,8800000,350.0
1997,15000,
1997,140000,
1998,7500000,250.0
1999,111000,350.0
1999,9500000,250.0
1999,13500000,180.0
1999,27400000,180.0
1999,21300000,250.0
1999,22000000,250.0
2000,21000000,180.0
2000,21000000,180.0
2000,42000000,180.0
2001,191000000,130.0
2001,45000000,130.0
2002,55000000,130.0
2002,220000000,180.0
2003,152000000,180.0
2003,54300000,130.0
2003,105900000,130.0
2003,410000000,130.0
2004,112000000,90.0
2004,400000000,90.0
2004,592000000,130.0
2005,169000000,90.0
2005,228000000,90.0
2005,165000000,90.0
2005,250000000,90.0
2006,184000000,65.0
2006,362000000,65.0
2006,291000000,65.0
2006,1700000000,90.0
2007,463000000,65.0
2007,26000000,45.0
2007,411000000,45.0
2007,789000000,65.0
2007,169000000,65.0
2007,250000000,45.0
2007,540000000,90.0
2008,230000000,45.0
2008,731000000,45.0
2008,758000000,45.0
2008,47000000,45.0
2008,600000000,65.0
2008,1900000000,45.0
2009,904000000,45.0
2009,760000000,45.0
2010,1000000000,40.0
2010,1170000000,32.0
2010,1200000000,45.0
2010,1400000000,45.0
2010,2000000000,65.0
2010,2300000000,45.0
2011,1870000000,40.0
2011,1160000000,32.0
2011,2270000000,32.0
2011,2600000000,32.0
2012,432000000,32.0
2012,2990000000,28.0
2012,1200000000,32.0
2012,1303000000,32.0
2012,1400000000,22.0
2012,2100000000,32.0
2012,2750000000,32.0
2012,3100000000,32.0
2012,5000000000,22.0
2013,1000000000,28.0
2013,1860000000,22.0
2013,4200000000,22.0
2013,5000000000,28.0
2014,1400000000,22.0
2014,2000000000,20.0
2014,2600000000,22.0
2014,3000000000,20.0
2014,4310000000,22.0
2014,5560000000,22.0
2015,1750000000,14.0
2015,1900000000,14.0
2015,2000000000,14.0
2015,2000000000,16.0
2015,3000000000,16.0
2015,3990000000,22.0
2015,7100000000,22.0
2015,10000000000,20.0
2016,3000000000,10.0
2016,3200000000,14.0
2016,3300000000,16.0
2016,4000000000,16.0
2016,7200000000,14.0
2016,8000000000,14.0
2016,1286,
2017,5300000000,10.0
2017,5300000000,10.0
2017,4300000000,10.0
2017,4800000000,14.0
2017,4800000000,14.0
2017,4800000000,14.0
2017,6100000000,14.0
2017,9700000000,14.0
2017,5500000000,10.0
2017,7000000000,16.0
2017,8000000000,14.0
2017,8000000000,14.0
2017,250000000,28.0
2017,5450000000,20.0
2017,4300000000,10.0
2017,18000000000,10.0
2017,19200000000,14.0
2018,5500000000,12.0
2018,6900000000,7.0
2018,6900000000,7.0
2018,8500000000,7.0
2019,6700000000,7.0
2020,10300000000,7.0
2018,10000000000,7.0
2018,8786000000,7.0
2018,9000000000,12.0
2019,5990000000,7.0
2019,8000000000,7.0
2019,8500000000,7.0
2019,9890000000,7.0
2019,10300000000,7.0
2019,30000000000,7.0
2019,39540000000,7.0
2020,3500000000,16.0
2020,11800000000,5.0
2020,16000000000,5.0
2020,15300000000,5.0
