year,processor cores,cluster computing
1970,5.877651837460363e-11,0.0
1971,4.70212146996829e-11,0.0
1972,3.918434558306908e-11,7.745642090680367e-11
1973,3.358658192834493e-11,6.639121792011743e-11
1974,3.358658192834493e-11,6.639121792011743e-11
1975,3.358658192834493e-11,6.639121792011743e-11
1976,9.370414365074607e-11,6.639121792011743e-11
1977,6.011756172240114e-11,6.639121792011743e-11
1978,6.011756172240114e-11,6.639121792011743e-11
1979,6.011756172240114e-11,0.0
1980,6.011756172240114e-11,0.0
1981,6.011756172240114e-11,0.0
1982,1.0978440775514083e-10,0.0
1983,4.9666846032739695e-11,2.346860007916364e-11
1984,4.9666846032739695e-11,2.346860007916364e-11
1985,4.9666846032739695e-11,2.346860007916364e-11
1986,1.1195135691493313e-10,6.499160733395927e-11
1987,1.1195135691493313e-10,6.499160733395927e-11
1988,1.1195135691493313e-10,6.499160733395927e-11
1989,6.228451088219344e-11,6.499160733395927e-11
1990,2.2564737380191347e-10,1.1412872234574576e-10
1991,3.781028823368615e-10,3.1740273901245276e-10
1992,6.081531151685177e-10,5.310208146218948e-10
1993,1.2146643532265751e-09,1.1116333567936669e-09
1994,1.5932357496798284e-09,1.3690618955968554e-09
1995,2.301812756273185e-09,2.164403402536509e-09
1996,2.846045986183908e-09,4.477394597936422e-09
1997,4.311029216148248e-09,5.863009220975966e-09
1998,5.4284752248889845e-09,6.713993028206744e-09
1999,6.89191871826113e-09,9.312008798976836e-09
2000,8.915656911158619e-09,1.0365227707888534e-08
2001,1.0774620370515971e-08,1.2225135824296883e-08
2002,1.3214505426414495e-08,1.4286033752800416e-08
2003,1.7558174850559486e-08,1.4070397101408259e-08
2004,2.0230144543680647e-08,1.4073612180404943e-08
2005,2.4941564369385105e-08,1.4200246058391843e-08
2006,2.3248070643181303e-08,1.138861221201231e-08
2007,2.0555536701343565e-08,9.713257753674043e-09
2008,1.8318001845532957e-08,7.595921098462505e-09
2009,1.516953978304108e-08,4.7396816630193175e-09
2010,1.0281637128985364e-08,2.6423271190115625e-09
2011,5.981321342980144e-09,1.1808917018843852e-09
2012,0.0,0.0
2013,0.0,0.0
2014,0.0,0.0
2015,0.0,0.0
2016,0.0,0.0
2017,0.0,0.0
2018,0.0,0.0
2019,0.0,0.0
